date,home_team,away_team,actual,predicted,correct,tier,consensus,h_prob,d_prob,a_prob,brier,elo_home,elo_away,elo_gap
2024-02-04,RB Leipzig,Union Berlin,home_win,home_win,True,SNIPER,0,0.4573,0.2636,0.2791,0.4419,1585.3,1471.1,114.2
2024-02-07,Mainz,Union Berlin,draw,draw,True,SKIP,0,0.3156,0.3729,0.3115,0.5899,1400.7,1462.1,-61.4
2024-02-09,Dortmund,Freiburg,home_win,home_win,True,SNIPER,0,0.4613,0.2636,0.2751,0.4354,1629.9,1506.4,123.5
2024-02-10,Ein Frankfurt,Bochum,draw,home_win,False,SNIPER,0,0.4444,0.2636,0.292,0.825,1541.6,1456.3,85.4
2024-02-10,Augsburg,RB Leipzig,draw,away_win,False,SKIP,0,0.2929,0.3336,0.3735,0.6694,1443.3,1594.2,-150.9
2024-02-10,M'gladbach,Darmstadt,draw,home_win,False,HOLD,0,0.4413,0.2636,0.2951,0.8241,1457.5,1378.8,78.7
2024-02-10,Union Berlin,Wolfsburg,home_win,home_win,True,HOLD,0,0.3538,0.3493,0.2968,0.6277,1461.6,1464.1,-2.5
2024-02-10,Leverkusen,Bayern Munich,home_win,draw,False,SKIP,0,0.3434,0.3592,0.2973,0.6485,1686.8,1700.3,-13.5
2024-02-10,Werder Bremen,Heidenheim,away_win,home_win,False,HOLD,0,0.353,0.3501,0.2969,0.7415,1489.2,1492.5,-3.3
2024-02-11,Stuttgart,Mainz,home_win,home_win,True,HOLD,0,0.4753,0.2636,0.2611,0.413,1559.3,1401.2,158.0
2024-02-11,Hoffenheim,FC Koln,draw,home_win,False,HOLD,0,0.419,0.2636,0.3174,0.8186,1461.4,1428.3,33.1
